"Name", "Source", "Link", "Price", "Grand Total"
"PCB x 1 (5*)", "JLCPCB", "N/A", "$24.70", ""
"Shipping", "JLCPCB", "N/A", "$27.19", ""
"Rotary Encoder x 1", "LCSC", "https://www.lcsc.com/product-detail/Rotary-Encoders_ALPSALPINE-EC11E153440D_C370992.html", "$2.11", ""
"100nF Capacitor x 100", "LCSC", "https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0805KRX7R9BB104_C49678.html", "$0.45", ""
"33Ω Resistor x 100", "LCSC", "https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8F330JT5E_C17634.html", "$0.17", ""
"5.1kΩ Resistor x 100, "LCSC", "https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8F5101T5E_C27834.html", "$0.19", ""
"Resettable Fuse x 5", "LCSC", "https://www.lcsc.com/product-detail/Resettable-Fuses_Littelfuse-1206L050-15YR_C151162.html", "$0.46", ""
"ESD & Surge Protector x 5", "LCSC", "https://www.lcsc.com/product-detail/ESD-and-Surge-Protection-TVS-ESD_Nexperia-PRTR5V0U2X-215_C12333.html", "$ 0.46", ""
"", "", "", "", ""
"", "", "", "", ""
